Cod: 190, Nome: Jardim Romano, Linha: Safira
Cod: 144, Nome: Granja Julieta, Linha: Esmeralda
Cod: 78, Nome: Moema, Linha: Lilas
Cod: 29, Nome: Brigadeiro, Linha: Verde
Cod: 150, Nome: Primavera-Interlagos, Linha: Esmeralda
Cod: 183, Nome: Tatuape, Linha: Safira
Cod: 95, Nome: Varzea Paulista, Linha: Rubi
Cod: 164, Nome: Ribeirao Pires, Linha: Turquesa
Cod: 179, Nome: Braz Cubas, Linha: Coral
Cod: 127, Nome: Jardim Belval, Linha: Diamante
Cod: 141, Nome: Vila Olimpia, Linha: Esmeralda
Cod: 83, Nome: Vila Prudente, Linha: Prata
Cod: 60, Nome: Fradique Coutinho, Linha: Amarela
Cod: 41, Nome: Republica, Linha: Vermelha
Cod: 44, Nome: Pedro II, Linha: Vermelha
Cod: 42, Nome: Anhangabau, Linha: Vermelha
Cod: 182, Nome: Bras, Linha: Safira
Cod: 139, Nome: Hebraica-Reboucas, Linha: Esmeralda
Cod: 98, Nome: Francisco Morato, Linha: Rubi
Cod: 25, Nome: Sumare, Linha: Verde
Cod: 86, Nome: Camilo Haddad, Linha: Prata
Cod: 128, Nome: Jardim Silveira, Linha: Diamante
Cod: 96, Nome: Campo Limpo Paulista, Linha: Rubi
Cod: 170, Nome: Dom Bosco, Linha: Coral
Cod: 130, Nome: Sagrado Coracao, Linha: Diamante
Cod: 30, Nome: Paraiso, Linha: Verde
Cod: 68, Nome: Vila das Belezas, Linha: Lilas
Cod: 163, Nome: Guapituba, Linha: Turquesa
Cod: 106, Nome: Pirituba, Linha: Rubi
Cod: 175, Nome: Poa, Linha: Coral
Cod: 116, Nome: Domingos de Moras, Linha: Diamante
Cod: 76, Nome: Campo Belo, Linha: Lilas
Cod: 84, Nome: Oratorio, Linha: Prata
Cod: 2, Nome: Parada Inglesa, Linha: Azul
Cod: 82, Nome: Chacara Klabin, Linha: Lilas
Cod: 110, Nome: Palmeiras-Barra Funda, Linha: Rubi
Cod: 87, Nome: Vila Tostoi, Linha: Prata
Cod: 36, Nome: Tamanduatei, Linha: Verde
Cod: 108, Nome: Lapa, Linha: Rubi
Cod: 33, Nome: Santos-Imigrantes, Linha: Verde
Cod: 112, Nome: Bras, Linha: Rubi
Cod: 188, Nome: Jardim Helena-Vila Mara, Linha: Safira
Cod: 65, Nome: Vila Sonia, Linha: Amarela
Cod: 12, Nome: Japao-Liberdade, Linha: Azul
Cod: 7, Nome: Armenia, Linha: Azul
Cod: 134, Nome: Presidente Altino, Linha: Esmeralda
Cod: 21, Nome: Sao Judas, Linha: Azul
Cod: 154, Nome: Juventus-Mooca, Linha: Turquesa
Cod: 133, Nome: Osasco, Linha: Esmeralda
Cod: 197, Nome: Tatuape, Linha: Jade
Cod: 115, Nome: Lapa, Linha: Diamante
Cod: 20, Nome: Saude, Linha: Azul
Cod: 192, Nome: Itaquaquecetuba, Linha: Safira
Cod: 18, Nome: Santa Cruz, Linha: Azul
Cod: 114, Nome: Palmeiras-Barra Funda, Linha: Diamante
Cod: 54, Nome: Corinthians-Itaquera, Linha: Vermelha
Cod: 93, Nome: Jardim Colonial, Linha: Prata
Cod: 123, Nome: Carapicuiba, Linha: Diamante
Cod: 71, Nome: Largo Treze, Linha: Lilas
Cod: 5, Nome: Carandiru, Linha: Azul
Cod: 177, Nome: Suzano, Linha: Coral
Cod: 92, Nome: Sao Mateus, Linha: Prata
Cod: 121, Nome: Quitauna, Linha: Diamante
Cod: 126, Nome: Barueri, Linha: Diamante
Cod: 171, Nome: Jose Bonifacio, Linha: Coral
Cod: 145, Nome: Joao Dias, Linha: Esmeralda
Cod: 81, Nome: Santa Cruz, Linha: Lilas
